County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
KING COUNTY,269,All Ages,274,132,142,234,111,123,0,0,0,0,0,0,3,2,1,37,19,18
KINNEY COUNTY,271,All Ages,3575,1995,1580,1215,627,588,39,20,19,12,6,6,62,35,27,2247,1307,940
KLEBERG COUNTY,273,All Ages,32135,16435,15700,6220,3243,2977,1225,700,525,733,434,299,376,206,170,23581,11852,11729
KNOX COUNTY,275,All Ages,3683,1813,1870,2127,1038,1089,209,97,112,7,5,2,59,34,25,1281,639,642
LAMAR COUNTY,277,All Ages,50440,24492,25948,37179,17917,19262,6350,3030,3320,326,138,188,2391,1162,1229,4194,2245,1949
LAMB COUNTY,279,All Ages,12565,6193,6372,4767,2258,2509,584,302,282,22,10,12,269,133,136,6923,3490,3433
LAMPASAS COUNTY,281,All Ages,21326,10472,10854,15126,7306,7820,654,327,327,223,79,144,893,438,455,4430,2322,2108
LA SALLE COUNTY,283,All Ages,7426,4308,3118,844,443,401,15,15,0,5,3,2,59,35,24,6503,3812,2691
LAVACA COUNTY,285,All Ages,20437,9955,10482,14512,7046,7466,1395,684,711,64,24,40,271,144,127,4195,2057,2138
LEE COUNTY,287,All Ages,17411,8798,8613,10732,5307,5425,1835,979,856,56,28,28,354,166,188,4434,2318,2116
LEON COUNTY,289,All Ages,17588,8801,8787,13337,6613,6724,1160,568,592,102,37,65,269,126,143,2720,1457,1263
LIBERTY COUNTY,291,All Ages,91098,44982,46116,58205,28414,29791,8533,4001,4532,446,221,225,1738,824,914,22176,11522,10654
LIMESTONE COUNTY,293,All Ages,23709,12219,11490,13607,6867,6740,3923,1992,1931,106,51,55,573,305,268,5500,3004,2496
LIPSCOMB COUNTY,295,All Ages,3208,1655,1553,2025,1026,999,7,2,5,14,5,9,66,35,31,1096,587,509
LIVE OAK COUNTY,297,All Ages,12164,6518,5646,6921,3549,3372,473,451,22,59,37,22,159,89,70,4552,2392,2160
LLANO COUNTY,299,All Ages,21784,10413,11371,18709,8932,9777,137,80,57,94,33,61,382,187,195,2462,1181,1281
LOVING COUNTY,301,All Ages,96,61,35,69,46,23,0,0,0,0,0,0,5,4,1,22,11,11
LUBBOCK COUNTY,303,All Ages,308880,152879,156001,161453,79218,82235,22288,11108,11180,7011,3810,3201,5826,2977,2849,112302,55766,56536
LYNN COUNTY,305,All Ages,6151,3182,2969,2851,1427,1424,128,75,53,11,4,7,75,36,39,3086,1640,1446
MCCULLOCH COUNTY,307,All Ages,8323,4173,4150,5285,2607,2678,139,72,67,33,19,14,125,58,67,2741,1417,1324
MCLENNAN COUNTY,309,All Ages,255400,125162,130238,139659,68156,71503,36925,17463,19462,4237,2100,2137,5798,2777,3021,68781,34666,34115
MCMULLEN COUNTY,311,All Ages,749,381,368,433,214,219,3,1,2,3,0,3,4,2,2,306,164,142
MADISON COUNTY,313,All Ages,14188,8167,6021,7533,4004,3529,2719,1818,901,84,46,38,368,196,172,3484,2103,1381
MARION COUNTY,315,All Ages,9760,4769,4991,6747,3334,3413,2220,1049,1171,66,32,34,349,169,180,378,185,193
MARTIN COUNTY,317,All Ages,5731,2916,2815,2734,1372,1362,70,34,36,12,6,6,74,44,30,2841,1460,1381
MASON COUNTY,319,All Ages,4301,2149,2152,3104,1518,1586,18,11,7,7,2,5,39,26,13,1133,592,541
MATAGORDA COUNTY,321,All Ages,36292,18077,18215,15650,7779,7871,3879,1793,2086,712,364,348,484,250,234,15567,7891,7676
MAVERICK COUNTY,323,All Ages,57888,29140,28748,1867,1023,844,78,43,35,144,76,68,722,360,362,55077,27638,27439
MEDINA COUNTY,325,All Ages,53794,28064,25730,23166,11642,11524,985,842,143,304,165,139,736,384,352,28603,15031,13572
